ExpressId,GlobalId,Family,Type,Base Constraint,Length,Width,Material:Name,Material:Description,Material:Area,Material:Volume
166520,2KDY8k2e98y8zvgV3Sje6f,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,3437.999999999998,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",13.074299999999981,0.15689159999999017
166687,2KDY8k2e98y8zvgV3Sje6e,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9187.999999999998,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",33.76180000000001,0.4051416000000543
166940,2KDY8k2e98y8zvgV3Sje6h,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,3437.999999999998,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",16.67429999999997,0.20009160000000079
166998,2KDY8k2e98y8zvgV3Sje6g,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6504.666666666637,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",31.48943333333319,0.3778732000000487
167067,2KDY8k2e98y8zvgV3Sje6a,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.3333333333435,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.89866666666672,0.14278400000001973
167372,2KDY8k2e98y8zvgV3Sje6d,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.333333333294,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",8.989266666666445,0.10787119999999231
167508,2KDY8k2e98y8zvgV3Sje6c,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.3333333333426,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.840466666666716,0.1420856000000196
167566,2KDY8k2e98y8zvgV3Sje6X,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.333333333294,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.782266666666446,0.1413872000000035
167637,2KDY8k2e98y8zvgV3Sje6W,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1214.6666666666645,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",3.789333333333323,0.04547200000000595
167890,2KDY8k2e98y8zvgV3Sje6Z,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.333333333294,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.840466666666455,0.14208560000000361
167948,2KDY8k2e98y8zvgV3Sje6Y,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1214.6666666666645,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",5.891133333333318,0.07069360000000927
168006,2KDY8k2e98y8zvgV3Sje7T,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.333333333294,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.782266666666446,0.1413872000000035
168077,2KDY8k2e98y8zvgV3Sje7V,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1214.6666666666688,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",3.7893333333333374,0.0454720000000061
168330,2KDY8k2e98y8zvgV3Sje7U,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.333333333294,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.840466666666455,0.14208560000000361
168388,2KDY8k2e98y8zvgV3Sje7P,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1214.6666666666697,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",5.891133333333345,0.07069360000000957
168446,2KDY8k2e98y8zvgV3Sje7O,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.333333333294,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.782266666666446,0.1413871999999971
168517,2KDY8k2e98y8zvgV3Sje7Q,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1214.666666666673,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",3.789333333333359,0.04547200000000639
168770,2KDY8k2e98y8zvgV3Sje7L,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.333333333294,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.840466666666455,0.14208559999999718
168828,2KDY8k2e98y8zvgV3Sje7K,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1214.666666666673,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",5.891133333333367,0.07069360000000985
168886,2KDY8k2e98y8zvgV3Sje7N,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,2441.333333333294,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",11.782266666666446,0.14138719999999713
168957,2KDY8k2e98y8zvgV3Sje7H,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1214.6666666666563,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",3.789333333333255,0.04547200000000513
